date,source,ticker_mentioned,comment,title,phobert_label,phobert_score,sentiment_score
2024-01-02,CafeF,VCB,"VNM ETF sẽ mua mới MCH, VCK, VPX và tăng tỷ trọng VIX đồng thời bán bớt lượng lớn nhiều cổ phiếu như HPG, VCB, VNM, SSI, MSN...","Quỹ ETF ngoại quy mô 15.000 tỷ thêm mới MCH, VCK, VPX, dự kiến bán mạnh loạt Bluechips HPG,VCB, VNM…",NEU,0.6333510279655457,0.0
2024-01-03,CafeF,VCB,"Phiên 10/3 ghi nhận sự phục hồi đồng loạt của nhóm cổ phiếu ngân hàng sau nhịp điều chỉnh mạnh trước đó. Thanh khoản tại nhiều mã lớn duy trì ở mức cao cho thấy dòng tiền bắt đáy đã quay trở lại, giúp toàn ngành lấy lại phần nào những gì đã mất trong phiên hôm qua.","Tiền bắt đáy ồ ạt đổ vào, loạt cổ phiếu ngân hàng bật tăng mạnh: STB và MBB tím trần, ACB, CTG,VCBhồi phục ấn tượng",POS,0.7874435186386108,0.7874435186386108
2024-01-04,CafeF,VCB,Một Phó Tổng giám đốc Ngân hàng TMCP Ngoại thương Việt Nam (Vietcombank) vừa mua vào cổ phiếu VCB và một Thành viên HĐQT cũng đã đăng ký mua.,Loạt sếp Vietcombank mua vào cổ phiếuVCB,POS,0.644352376461029,0.644352376461029
2024-01-05,CafeF,VCB,"Bà Phùng Nguyễn Hải Yến- Phó Tổng Giám đốc Vietcombank, vừa có báo cáo về việc mua vào 10.000 cổ phiếu VCB, qua đó nâng sở hữu lên 0,00072% vốn ngân hàng.",Lãnh đạo Vietcombank gom thêm cổ phiếuVCB,NEG,0.6828408241271973,-0.6828408241271973
2024-01-08,CafeF,VCB,"Bà Phùng Nguyễn Hải Yến, Phó Tổng Giám đốc Vietcombank, vừa mua vào 10.000 cổ phiếu VCB trong phiên 23/2, nâng lượng cổ phần nắm giữ lên hơn 52.000 đơn vị. Ông Nguyễn Tuấn Anh - một Thành viên HĐQT ngân hàng - cũng đăng ký mua 18.000 cổ phiếu trong thời gian tới.","Giám đốc Khối Dữ liệu Vietcombank vừa mua khớp lệnh cổ phiếuVCB, thành viên HĐQT cũng đăng ký mua",NEU,0.5827324390411377,0.0
2024-01-09,CafeF,VCB,"Kết phiên giao dịch 23/2, nhóm cổ phiếu ngân hàng ghi nhận 25 mã tăng và 2 mã đứng giá tham chiếu. Trong đó, VCB và BID dẫn dầu tăng giá bất chấp đà bán ròng mạnh của khối ngoại.","Cổ phiếu ngân hàng khai xuân ấn tượng: 25 mã tăng giá, BID vàVCBgây chú ý",NEU,0.8534421324729919,0.0
2024-01-10,CafeF,VCB,"Phó Tổng Giám đốc Vietcombank Phùng Nguyễn Hải Yến vừa đăng ký mua thêm 10.000 cổ phiếu VCB theo phương thức khớp lệnh, với mục đích đầu tư. Giao dịch dự kiến được thực hiện trong khoảng thời gian từ ngày 10/02 đến 09/03/2026.",Giám đốc Khối Dữ liệu Vietcombank đăng ký mua cổ phiếuVCB,POS,0.8594242334365845,0.8594242334365845
2024-01-11,CafeF,VCB,"Dịp Tết, nhu cầu đi lại và về quê sum họp tăng cao. Nắm bắt xu hướng người dùng ngày càng ưu tiên các nền tảng số, VCB Digibank triển khai chương trình “Ưu đãi đổ bộ – Di chuyển cực vui” nhằm giúp khách hàng tiết kiệm chi phí và chủ động hơn trong việc di chuyển.","Tết cận kề: Đặt vé máy bay, tàu xe quaVCBDigibank nhận ngay ưu đãi lên tới 50%",POS,0.9915968775749207,0.9915968775749207
2024-01-12,CafeF,VCB,"Thị trường chứng khoán ngày 8/1 ghi nhận áp lực chốt lời ở nhóm Vingroup trong khi cổ phiếu ""vua"" đỡ trụ. Kết quả VN-Index điều chỉnh sau phiên tăng nóng hôm qua.","Chứng khoán ngày 8/1:VCBtím trần, VN-Index điều chỉnh",NEU,0.9029816389083862,0.0
2024-01-15,CafeF,VCB,"Với mức giá đóng cửa 57.900 đồng/cp, STB hiện là cổ phiếu ngân hàng có thị giá cao nhất.","Giá cổ phiếu STB vượtVCB, trở thành mã chứng khoán có thị giá cao nhất ngành ngân hàng",POS,0.9522242546081543,0.9522242546081543
2024-01-16,CafeF,VCB,"Anh Tùng (30 tuổi, Ninh Bình) bán 2 cây vàng cưới lúc giá hơn 80 triệu đồng/lượng để mua cổ phiếu FPT và VCB.","Vàng lên gần 160 triệu đồng/lượng, người đàn ông lỗ kép vì bán vàng để mua cổ phiếu FPT,VCB: 'Vàng thì tăng gấp đôi, còn tài khoản chứng khoán của tôi giảm 20%'",NEU,0.706380307674408,0.0
2024-01-17,CafeF,VCB,"Từ đầu năm 2025 đến nay, cổ phiếu họ nhà Vingroup đã tăng phi mã, riêng cổ phiếu VHM đã tăng hơn 220%.",Vinhomes (VHM) vượt Vietcombank (VCB) trở thành doanh nghiệp có vốn hóa lớn thứ 2 thị trường,NEU,0.5685804486274719,0.0
2024-01-18,CafeF,VCB,Tài sản của tỷ phú Phạm Nhật Vượng tăng thêm 424 triệu USD trong ngày cổ phiếu VIC của Tập đoàn Vingroup vượt Vietcombank (VCB) để trở thành cổ phiếu vốn hóa lớn nhất trên sàn chứng khoán Việt Nam.,Tài sản của tỷ phú Phạm Nhật Vượng tăng bao nhiêu trong ngày VIC vượtVCBtrở thành cổ phiếu vốn hóa lớn nhất sàn chứng khoán?,POS,0.8316594362258911,0.8316594362258911
2024-01-19,CafeF,VCB,"Kết phiên 22/8, toàn ngành ngân hàng chỉ còn 6 mã giữ được sắc xanh và 21 mã chìm trong sắc đỏ và xanh sàn.","Ngày 22/8: VPB, TCB cùng loạt cổ phiếu ngân hàng giảm sâu, BID vàVCBngược chiều tăng giá",NEU,0.8128349781036377,0.0
2024-01-22,CafeF,VCB,"Cổ phiếu nhóm này tăng mạnh trong bối cảnh NHNN mới ban hành quy định mới về tỷ lệ dự trữ bắt buộc. Trong đó, TCTD nhận chuyển giao ngân hàng yếu kém được giảm 50% tỷ lệ dự trữ bắt buộc.","Cổ phiếu ngân hàng nhận chuyển giao bắt buộc đồng loạt tăng mạnh phiên 14/8: HDB, VPB, MBB tím trần,VCBxanh hơn 4,3%",NEG,0.985630452632904,-0.985630452632904
2024-01-23,CafeF,VCB,"Mới đây, ngân hàng Vietcombank đã có thông báo về việc ngừng triển khai dịch vụ nạp tiền tài khoản giao thông VETC trên VCB Digibank.",Khách hàng sử dụngVCBDigibank lưu ý!,NEG,0.9312770962715149,-0.9312770962715149
2024-01-24,CafeF,VCB,Tổng vốn hóa 4 doanh nghiệp họ nhà Vin tăng thêm 549 nghìn tỷ đồng trong gần nửa năm 2025 vừa qua.,"Vốn hóa HoSE tăng 690.000 tỷ đồng trong nửa năm: Tỷ phú Phạm Nhật Vượng chiếm 80%, TCB và Gelex góp trên 1 tỷ USD; FPT,VCBgiảm mạnh nhất",POS,0.9044349789619446,0.9044349789619446
2024-01-25,CafeF,VCB,Đặt taxi trên app ngân hàng VCB Digibank giúp người dùng tiết kiệm “nửa giá” và nhận cơ hội trúng ôtô VinFast VF3.,"Đặt taxi “đi làm, đi học” trên appVCBDigibank tiết kiệm ""nửa giá""",POS,0.9883477091789246,0.9883477091789246
2024-01-26,CafeF,VCB,"Tính đến ngày 31/12/2024, công ty này đang đem hơn 124.567 tỷ đồng (chiếm gần 54% danh mục) để đi gửi ngân hàng, tăng hơn gần 12.800 tỷ so với đầu năm.","Danh mục đầu tư gần 10 tỷ USD của 'cá mập' Nhà nước: Một nửa để gửi ngân hàng, hơn 1 tỷ USD trái phiếu doanh nghiệp, đổ vào cổ phiếu ACB, VNM,VCBnhưng tạm lỗ",NEU,0.6014441251754761,0.0
2024-01-29,CafeF,VCB,KBank cũng là một cái tên quen thuộc trên thị trường chứng khoán Việt Nam khi đầu tư vào nước ta thông qua hai quỹ thành viên là K Vietnam Equity Fund và K Vision.,"Tập đoàn dưới trướng nữ tỷ phú Thái Lan trả viện phí cho Xuân Son: “Cá mập” đáng gờm rót cả chục nghìn tỷ đồng vào FPT,VCB, Thế giới Di động, KiotViet, Sendo…",NEU,0.8443946838378906,0.0
2024-01-30,CafeF,VCB,"Trước đó, Vietcombank đã ngừng áp dụng SMS OTP đối với giao dịch: Chuyển tiền trong hệ thống; và giao dịch Nạp tiền điện thoại trên VCB Digibank khi khách hàng đã đủ điều kiện xác thực bằng Smart OTP.",Tất cả người dùngVietcombankchú ý: Ngừng hoàn toàn SMS OTP với mọi giao dịch từ 26/3 trong trường hợp sau,NEG,0.9842509031295776,-0.9842509031295776
2024-01-31,CafeF,VCB,"Thủ đoạn gửi tin nhắn mạo danh thương hiệu ngân hàng không phải mới tuy nhiên chỉ cần một giây phút hoang mang, người dùng có thể bị chiếm đoạt tài sản trong tài khoản ngân hàng.","Lỡ bấm link tin nhắn mạo danhVietcombank, soạn ngay cú pháp này để cứu tài khoản",NEG,0.9877781271934509,-0.9877781271934509
2024-02-01,CafeF,VCB,"Nhiều ngân hàng thương mại lớn tại Việt Nam như Vietcombank, VietinBank, Agribank hay BIDV đã có thông báo quan trọng về việc siết chặt quy định xác thực thông tin khách hàng.","Những loại giấy tờ nào bịVietcombank, VietinBank, Agribank, BIDV ngừng chấp nhận, sẽ bị khóa tài khoản ngân hàng",NEG,0.6696010828018188,-0.6696010828018188
2024-02-02,CafeF,VCB,"Ngay sau khi tiếp nhận nội dung trình báo, Công an xã Phụng Công đã nhanh chóng triển khai các biện pháp nghiệp vụ, xác minh thông tin giao dịch, phối hợp với ngân hàng có liên quan tra soát dữ liệu chuyển khoản.","Chuyển thành công 100 triệu đồng vào tài khoản 1020886xxxx ởVietcombank, người phụ nữ ở Hưng Yên vội báo công an",POS,0.9488725066184998,0.9488725066184998
2024-02-05,CafeF,VCB,Việc đặt mật khẩu thiếu an toàn có thể khiến người dùng gặp rủi ro lớn về an toàn tài khoản và tài sản.,"Vietcombankcảnh báo: Không sử dụng dãy số sau để làm mật khẩu, rất nhiều người đang mắc lỗi này!",NEG,0.9875704646110535,-0.9875704646110535
2024-02-06,CafeF,VCB,Năm 2025 được nhìn nhận là một năm mà sự bất ổn trở thành rủi ro lớn nhất đối với nhiều tổ chức và doanh nghiệp.,"Sếp HSBC Việt Nam,Vietcombank, BIDV nói về quản lý rủi ro trong thời kỳ bất định",NEG,0.985139787197113,-0.985139787197113
2024-02-07,CafeF,VCB,"Nếu tài khoản nhận tiền có dấu hiệu rủi ro, khách hàng sẽ nhận được cảnh báo ngay lập tức.","Agribank,Vietcombank, BIDV, MB,... sẽ tiến hành kiểm tra tài khoản người nhận trước khi khách hàng chuyển tiền",NEG,0.9872872829437256,-0.9872872829437256
2024-02-08,CafeF,VCB,"Nhiều người dùng vẫn lầm tưởng tài khoản ngân hàng một khi đã mở sẽ tồn tại mãi mãi. Tuy nhiên, theo Nghị định 52/2024/NĐ-CP đang có hiệu lực, ngân hàng có quyền đơn phương đóng tài khoản nếu phát hiện vi phạm, đặc biệt là các hành vi mua bán, thuê mượn tài khoản.","4 trường hợp tài khoản ngân hàng bịVietcombank, Agribank, VietinBank, BIDV ""xóa sổ"" ngay lập tức",NEG,0.9848732948303223,-0.9848732948303223
2024-02-09,CafeF,VCB,"Thống kê từ báo cáo tài chính của 27 ngân hàng cho thấy tổng chi phí cho nhân viên đã lên tới hơn 132.000 tỷ đồng. Trong đó, nhiều ngân hàng chi hàng chục nghìn tỷ đồng mỗi năm, với BIDV, VietinBank, Vietcombank, MB và VPBank là những cái tên dẫn đầu về quy mô chi.","Các ngân hàng chi hơn 132.000 tỷ cho nhân viên: BIDV, VietinBank,Vietcombank, MB và VPBank dẫn đầu",POS,0.5286967158317566,0.5286967158317566
2024-02-12,CafeF,VCB,"Nếu Thông tư 41/2016 đã đặt nền móng cho việc áp dụng Basel II tại Việt Nam, thì Thông tư 14/2025 chính là bước đi mang tính hệ thống để các ngân hàng tiến tới áp dụng Basel III, qua đó nâng cao chuẩn mực quản trị rủi ro và khẳng định vị thế trên thị trường khu vực và quốc tế.",Vietcombankchính thức áp dụng tính vốn theo phương pháp tiêu chuẩn Thông tư 14/2025 từ tháng 3/2026,POS,0.5776949524879456,0.5776949524879456
2024-02-13,CafeF,VCB,"Các cá nhân và hộ kinh doanh đang sử dụng tài khoản tại các ngân hàng như Vietcombank, BIDV, Agribank, VietinBank,... cần lưu ý.","Trường hợp người dùngVietcombank, BIDV, Agribank, VietinBank… phải khai báo tài khoản ngân hàng trước 20/4",POS,0.8382871747016907,0.8382871747016907
2024-02-14,CafeF,VCB,"Năm 2025 chứng kiến sự tăng trưởng khá mạnh của tổng thu nhập hoạt động trong toàn ngành ngân hàng, với mức tăng bình quâ 13%. Trong khi hai ngân hàng quốc doanh như BIDV và VietinBank tiếp tục dẫn đầu về quy mô nguồn thu, thì nhiều ngân hàng tư nhân như VPBank, MB hay HDBank lại nổi bật về tốc độ tăng trưởng.","Lần đầu tiên tổng thu nhập của một ngân hàng tư nhân vượtVietcombank, BIDV tiến gần mốc lịch sử",POS,0.9364093542098999,0.9364093542098999
2024-02-15,CafeF,VCB,Hộ kinh doanh và cá nhân kinh doanh sẽ phải thông báo các tài khoản ngân hàng hoặc ví điện tử phục vụ hoạt động kinh doanh cho cơ quan thuế trước ngày 20/4/2026.,"Trước ngày 20/4, người dùng tài khoảnVietcombank, BIDV, Agribank, VietinBank... để kinh doanh phải làm ngay điều này!",NEU,0.6954326033592224,0.0
2024-02-16,CafeF,VCB,"Hiện, mức lãi suất cao nhất tại Vietcombank được áp dụng cho tiền gửi kỳ hạn dài từ 24 tháng trở lên.",Lãi suất ngân hàngVietcombankmới nhất tháng 3/2026,NEU,0.8729549050331116,0.0
2024-02-19,CafeF,VCB,"Tổng lợi nhuận tích lũy của 27 ngân hàng trên sàn đã lên tới gần 500.000 tỷ đồng, tăng khoảng 14% so với cuối năm 2024, trong đó phần lớn ngân hàng ghi nhận mức tăng trưởng tích cực.","Điểm danh ngân hàng có nhiều lợi nhuận tích lũy nhất: Một nhà băng tư nhân có gần 63.000 tỷ đồng, đứng thứ hai hệ thống chỉ sauVietcombank",POS,0.8006153106689453,0.8006153106689453
2024-02-20,CafeF,VCB,"Việt Nam có 13 ngân hàng góp mặt trong bảng xếp hạng năm nay, qua đó nằm trong 8 quốc gia có nhiều ngân hàng được xếp hạng nhất.","13 ngân hàng Việt lọt Top 500 thương hiệu ngân hàng đắt giá nhất hành tinh:Vietcombankdẫn đầu, VPBank và HDBank gây bất ngờ",NEU,0.6473640203475952,0.0
2024-02-21,CafeF,VCB,"Tiền gửi khách hàng tại nhiều ngân hàng tăng mạnh trong năm 2025 với nhiều nhà băng tăng trưởng 20 - 40%. Đáng chú ý, tiền gửi khách hàng tại một ngân hàng ngoài Big4 ghi nhận mức tăng hơn 200.000 tỷ đồng trong năm qua, cao hơn cả Vietcombank và VietinBank.","Tiền gửi tại nhiều ngân hàng tăng rất mạnh: Một nhà băng huy động thêm được nhiều hơn cảVietcombank, VietinBank và chỉ đứng sau BIDV",POS,0.9776374101638794,0.9776374101638794
2024-02-22,CafeF,VCB,"Có 5 trường hợp tài khoản sẽ bị các ngân hàng Vietinbank, Vietcombank, BIDV… tạm dừng giao dịch, bao gồm rút tiền và chuyển tiền mà người dùng cần lưu ý!","5 trường hợp sau sẽ bị Vietinbank,Vietcombank, BIDV… đóng băng tài khoản, dừng giao dịch chuyển tiền/ rút tiền",NEG,0.9813449382781982,-0.9813449382781982
2024-02-23,CafeF,VCB,Việc đặt mật khẩu cho tài khoản ngân hàng là cực kỳ quan trọng khi nó chính là chìa khóa để mở ra ví tiền của chính người dùng.,Cảnh báo quan trọng từVietcombank: Tránh 3 kiểu đặt mật khẩu này nếu không muốn bị mất tiền,POS,0.5083711743354797,0.5083711743354797
2024-02-26,CafeF,VCB,Người dùng ngân hàng cần lưu ý để bảo đảm giao dịch thông suốt.,"Vietcombank, VietinBank, Agribank, BIDV,... có quy định mới, người dân cần chú ý",NEU,0.6341329216957092,0.0
2024-02-27,CafeF,FPT,"Sau hơn 2 thập kỷ hiện diện tại Nhật Bản, FPT đã trở thành một trong những doanh nghiệp công nghệ có vốn đầu tư nước ngoài lớn nhất tại thị trường này, đồng thời khẳng định vị thế tiên phong trong chuỗi giá trị công nghệ Nhật Bản.","FPT""chơi lớn"" tại Nhật Bản, hợp tác chiến lược với tập đoàn tài chính hàng đầu thúc đẩy chuyển đổi số",POS,0.9616016745567322,0.9616016745567322
2024-02-28,CafeF,FPT,Việc áp dụng Chuẩn mực Báo cáo Tài chính Quốc tế (IFRS) thay thế cho Chuẩn mực Kế toán Việt Nam (VAS) dự kiến tạo ra những thay đổi đáng kể lên bức tranh tài chính của nhiều doanh nghiệp.,"Thay đổi dự kiến sẽ 'bóc trần' 30 đại gia lớn nhất sàn chứng khoán: Lợi nhuậnFPTcó thể tăng thêm 30%, Vietnam Airlines gặp cứu cánh",NEG,0.7777771353721619,-0.7777771353721619
2024-02-29,CafeF,FPT,"Trên thế giới, metro ngày càng được nhìn nhận không chỉ là hạ tầng vận tải công cộng, mà là “xương sống” của hệ sinh thái đô thị thông minh, gắn với TOD (Transit Oriented Development), kết nối đa phương thức, các nền tảng số như MaaS (Mobility as a Service), cũng như khai thác dữ liệu thời gian thực để tối ưu vận hành và giảm phát thải.",FPThiến kế phát triển metro tại Việt Nam,POS,0.9800041317939758,0.9800041317939758
2024-03-01,CafeF,FPT,"Tại phiên họp lần thứ nhất năm 2026 của Ban chỉ đạo quốc gia về phát triển ngành công nghiệp bán dẫn, ông Trần Đăng Hòa - Chủ tịch FPT IS, Tập đoàn FPT đưa ra kiến nghị đồng hành cùng Chính phủ, doanh nghiệp hoàn thiện hệ sinh thái bán dẫn, cùng Việt Nam tiến sâu trong chuỗi giá trị toàn cầu, bám sát Nghị quyết số 57-NQ/TW.",Lãnh đạoFPT: “Liên minh các doanh nghiệp cam kết thúc đẩy hệ sinh thái bán dẫn Việt Nam”,POS,0.7915495038032532,0.7915495038032532
2024-03-04,CafeF,FPT,"Trong kỷ nguyên AI toàn cầu, việc làm chủ công nghệ lõi là chìa khóa để các doanh nghiệp công nghệ Việt vươn tầm thế giới. Mới đây, giải pháp AI Agentic Automation - Akabot do FPT phát triển đã chính thức được cấp bằng sáng chế đầu tiên tại Đài Loan (Trung Quốc), khẳng định giá trị và năng lực sáng tạo của sản phẩm ""Make in Vietnam"".",Giải pháp tự động hóa bằng AI củaFPTlần đầu được cấp bằng sáng chế tại Đài Loan (Trung Quốc),POS,0.987211287021637,0.987211287021637
2024-03-05,CafeF,FPT,"Mới đây, nền tảng AI Agentic Automation Akabot của FPT đã được cấp bằng sáng chế tại Đài Loan (Trung Quốc). Bên cạnh đó, FPT cũng góp mặt trong danh sách 16 nhà cung cấp dịch vụ phát triển phần mềm tuỳ chỉnh toàn cầu do Constellation Research - doanh nghiệp nghiên cứu và tư vấn hàng đầu thế giới về chuyển đổi số và những công nghệ mang tính đột phá tại Silicon Valley (Mỹ) công bố.","FPTđón tin vui ""kép"" về dịch vụ phần mềm và AI",POS,0.9720150232315063,0.9720150232315063
2024-03-06,CafeF,FPT,"Theo BVSC, FPT đang định hướng đúng trong quá trình tiến hoá của ngành dịch vụ CNTT.","FPTvà ""ván cược"" AI 6.000 tỷ USD: Kẻ thức thời hay nạn nhân của cuộc đào thải mới?",POS,0.5767342448234558,0.5767342448234558
2024-03-07,CafeF,FPT,"""Việt Nam hiện là một thị trường rất thú vị đối với chúng tôi."" - ông Bernardo Bautista, Giám đốc Điều hành của DHL Express nói.","Nói về làn sóng bán dẫn, giám đốc tập đoàn logistics từ Đức: ""Chúng tôi thấy sự phát triển của các công ty trong nước như Viettel,FPT""",POS,0.9877689480781555,0.9877689480781555
2024-03-08,CafeF,FPT,"Từng chỉ gắn với một dự án duy nhất là FPT City Đà Nẵng suốt hơn một thập kỷ, bất động sản của FPT thời gian gần đây bất ngờ “tăng tốc” với loạt dự án trải dài từ Hà Nội, Hải Phòng đến Khánh Hòa và Tây Nguyên.","Sau 15 năm đặt nền móng tại Đà Nẵng,FPTdồn dập khởi động 7 dự án lớn trên khắp cả nước chỉ trong 3 tháng",POS,0.9220283031463623,0.9220283031463623
2024-03-11,CafeF,FPT,"Tại thời điểm cuối tháng 2, tổng tài sản quản lý của quỹ ngoại PYN Elite Fund đạt khoảng 612,85 triệu euro (tương đương hơn 19.300 tỷ đồng).","Cá mập PYN Elite Fund bán mạnhFPT, ngược chiều xuống tiền ""gom"" HPG",NEU,0.5797357559204102,0.0
2024-03-12,CafeF,FPT,"Với việc triển khai 5 chương trình đào tạo công nghệ chiến lược, FPT đặt mục tiêu tuyển sinh 1.000 sinh viên trong năm 2026, góp phần giải quyết bài toán nguồn nhân lực công nghệ lõi trong tương lai.","FPTbắt tay đối tác quốc tế đào tạo nhân lực cho các ngành mũi nhọn AI, bán dẫn, an ninh mạng và UAV",POS,0.6592959761619568,0.6592959761619568
2024-03-13,CafeF,FPT,"Chuỗi giảm 5 phiên liên tiếp đã kéo cổ phiếu FPT rơi về vùng giá thấp nhất trong 2 năm, vốn hóa lùi về mốc 139.000 tỷ đồng.","Buồn củaFPT: Cổ phiếu thủng đáy 2 năm, ""hở room"" kỷ lục hơn 250 triệu đơn vị",NEG,0.9746568202972412,-0.9746568202972412
2024-03-14,CafeF,FPT,Giao dịch của khối ngoại là điểm trừ khi bán ròng khoảng 1.385 tỷ đồng.,"Phiên 6/3: Khối ngoại tiếp đà bán ròng,FPTbị ""xả"" gần 600 tỷ đồng",NEU,0.8619950413703918,0.0
2024-03-15,CafeF,FPT,"Quyết định điều chỉnh tăng mức cước sàn Internet cố định của Viettel, FPT Telecom và VNPT lên tiệm cận mốc 200.000 đồng phản ánh sức ép trực tiếp từ đà tăng chi phí linh kiện toàn cầu và bài toán dòng vốn tái đầu tư hạ tầng mạng băng rộng.","VNPT, Viettel,FPTđồng loạt tăng cước lên gần 200.000 đồng/tháng: ""Cơn khát"" RAM và cú sốc đội giá linh kiện 600%",NEG,0.8022237420082092,-0.8022237420082092
